chr1	x1	x2	chr2	y1	y2	color	o	e_bl	e_donut	e_h	e_v	fdr_bl	fdr_donut	fdr_h	fdr_v	num_collapsed	centroid1	centroid2	radius
16	68290000	68300000	16	68360000	68370000	255,255,0	846	304.777	294.817	350.603	313.998	4.02171036169e-79	8.14166581012e-127	9.57298925438e-79	1.81790098972e-78	10	68289000	68361000	17088.0074906
1	12180000	12190000	1	12260000	12270000	255,255,0	844	274.315	282.154	331.822	335.365	5.81537838912e-126	5.17180726536e-126	3.77548534481e-78	6.57214115579e-78	12	12185000	12270833	24509.0686164
2	232470000	232480000	2	232530000	232540000	255,255,0	838	398.452	388.862	458.549	379.59	4.98613628742e-39	9.57863023636e-39	1.9682116924e-38	4.47086271944e-76	2	232475000	232530000	5000.0
19	920000	930000	19	980000	990000	255,255,0	827	288.052	268.711	311.167	315.154	5.0658717679e-119	4.88068357437e-119	7.46632105467e-73	9.45231217695e-73	5	925000	985000	10000.0
8	11270000	11280000	8	11320000	11330000	255,255,0	826	320.508	263.492	335.361	262.47	6.81680793878e-73	1.17410861273e-118	1.40419366557e-72	2.7236037235e-118	6	11270000	11330000	15811.3883008
2	231760000	231770000	2	231850000	231860000	255,255,0	804	275.716	296.425	307.796	443.39	8.75695251447e-110	8.18869089005e-110	6.04569207345e-66	1.52093491872e-31	9	231779444	231855000	25555.5555556
6	31510000	31520000	6	31560000	31570000	255,255,0	802	291.749	265.68	285.189	289.421	4.60604816222e-109	4.80747507199e-109	1.43384204094e-108	1.14054525922e-108	4	31520000	31575000	11180.3398875
12	111830000	111840000	12	111880000	111890000	255,255,0	787	318.955	280.174	317.812	301.383	2.43141464019e-61	3.47265829934e-103	5.30526702637e-61	7.97168390432e-103	3	111831666	111891666	7453.559925
1	205240000	205250000	1	205290000	205300000	255,255,0	783	231.352	222.005	237.858	240.475	4.96260670476e-150	4.56203795891e-150	1.18869430446e-149	2.37175010458e-149	5	205243000	205301000	12649.1106407
19	42370000	42380000	19	42450000	42460000	255,255,0	780	290.904	240.216	222.172	275.735	1.64507087606e-100	1.04221217116e-148	2.26300848266e-148	3.71195479726e-100	11	42379545	42450454	20570.3790891
6	32980000	32990000	6	33040000	33050000	255,255,0	779	323.51	314.342	351.223	334.178	4.30220098822e-59	1.64471027943e-58	9.6006083528e-59	1.21543055241e-58	10	32979000	33054000	25238.8589282
22	39560000	39570000	22	39700000	39710000	255,255,0	774	225.883	200.746	243.265	272.164	8.37284805699e-146	6.84178975242e-146	9.79136967993e-98	6.79949723816e-98	12	39563333	39703333	21730.674684
11	46260000	46270000	11	46330000	46340000	255,255,0	768	273.435	271.278	325.603	293.774	5.70429532897e-96	6.18274001294e-96	1.09811505201e-55	1.19518568797e-95	9	46267222	46332777	17916.1283296
1	156350000	156360000	1	156410000	156420000	255,255,0	764	200.322	221.772	246.755	273.933	4.0590240965e-141	3.55370494849e-141	5.36689322491e-94	3.58721202662e-94	10	156349000	156416000	24020.8242989
11	75150000	75160000	11	75240000	75250000	255,255,0	753	212.831	227.178	255.602	296.583	5.30162065012e-136	4.87368757762e-136	6.09199584353e-90	4.18074147099e-90	9	75155000	75243888	40015.429123
17	41650000	41660000	17	41750000	41760000	255,255,0	746	178.753	172.959	214.908	197.307	2.18068043623e-183	2.33682133296e-183	2.36373379614e-132	4.71625535444e-132	10	41660000	41753000	23430.7490277
17	45910000	45920000	17	45960000	45970000	255,255,0	742	239.892	250.759	267.286	263.349	6.067443464e-131	2.46284673687e-86	5.93290784069e-86	4.16581365178e-86	4	45915000	45972500	10307.764064
1	182560000	182570000	1	182750000	182760000	255,255,0	741	134.981	128.14	164.953	163.428	2.28179831184e-236	2.29607351175e-236	1.78318844857e-180	1.8031836466e-180	13	182568846	182751153	19581.4185559
1	53740000	53750000	1	53850000	53860000	255,255,0	739	172.859	183.323	226.179	240.876	9.56601508019e-180	1.02509600854e-179	3.29655731965e-129	5.48123133809e-129	9	53745000	53860555	20757.268547
1	55410000	55420000	1	55460000	55470000	255,255,0	736	258.23	264.722	295.196	270.155	3.26925876091e-84	3.43608831069e-84	8.05217556696e-84	5.76831620972e-84	7	55412142	55470714	17261.494248
7	101920000	101930000	7	102030000	102040000	255,255,0	735	210.47	177.362	232.844	185.681	8.91260006526e-128	1.18857184979e-177	1.89763298306e-127	2.08478270395e-177	8	101925000	102030000	15000.0
22	23190000	23200000	22	23280000	23290000	255,255,0	733	173.544	190.563	211.613	313.273	1.0881630755e-176	9.32862109025e-177	1.17329355532e-126	3.10377723991e-46	6	23188333	23288333	14907.11985
17	74110000	74120000	17	74270000	74280000	255,255,0	733	156.954	171.034	194.229	218.863	1.0881630755e-176	9.32862109025e-177	1.17329355532e-126	2.34102165888e-126	8	74116250	74283750	14252.1928137
11	120040000	120050000	11	120090000	120100000	255,255,0	732	299.465	313.658	330.022	316.966	8.30982273829e-83	6.85073000246e-46	4.26554886946e-46	5.20729342505e-46	4	120040000	120100000	7071.06781187
11	44580000	44590000	11	44630000	44640000	255,255,0	731	295.072	250.607	302.545	269.47	1.78303620531e-82	2.01661294141e-82	4.61119406517e-82	3.3622968443e-82	5	44579000	44637000	12649.1106407
14	94400000	94410000	14	94460000	94470000	255,255,0	726	300.27	278.055	309.275	297.495	1.00171404608e-80	1.14605072907e-80	1.29790594174e-44	1.89894091275e-80	8	94408750	94471250	16677.0800802
1	25290000	25300000	1	25350000	25360000	255,255,0	723	290.907	306.387	351.782	367.845	1.08432861643e-79	9.91567574916e-44	7.0558986463e-44	8.79314641907e-44	10	25282000	25359000	23345.2350599
8	11330000	11340000	8	11410000	11420000	255,255,0	720	391.464	296.631	333.485	284.795	1.47707152774e-17	1.41083540666e-78	3.79730539757e-43	2.32439183324e-78	8	11341250	11413750	31868.87196
11	65180000	65190000	11	65270000	65280000	255,255,0	719	280.496	278.756	301.328	380.301	2.47919784685e-78	3.03164425351e-78	7.34659123864e-78	7.82161394542e-43	13	65172692	65271923	39896.3153227
17	73900000	73910000	17	74000000	74010000	255,255,0	714	266.349	269.36	313.91	302.615	1.2946125427e-76	1.59375515017e-76	1.02331259242e-41	2.71252151805e-76	10	73903000	73999000	18973.665961
19	2470000	2480000	19	2610000	2620000	255,255,0	710	209.798	175.449	247.248	200.811	1.50996347342e-116	3.63368982795e-164	9.03018847345e-75	4.3298889947e-116	12	2471666	2615833	21098.3148353
1	27930000	27940000	1	27980000	27990000	255,255,0	708	269.381	229.236	250.756	295.543	1.4395056978e-74	1.28147154057e-115	4.136415122e-74	3.01610717633e-74	3	27938333	27991666	7453.559925
11	61100000	61110000	11	61150000	61160000	255,255,0	707	238.531	255.63	275.007	265.137	2.63067656328e-115	3.91871563192e-74	8.61196890432e-74	6.11848775804e-74	3	61101666	61158333	7453.559925
6	37010000	37020000	6	37140000	37150000	255,255,0	707	201.904	240.213	309.13	283.723	2.63067656328e-115	3.2244468961e-115	5.0026013008e-40	6.11848775804e-74	18	37009444	37153333	34805.4557948
15	75330000	75340000	15	75490000	75500000	255,255,0	703	209.21	202.777	246.244	261.314	1.39540450927e-113	1.71036143383e-113	1.88164239038e-72	1.35507929464e-72	6	75330000	75491666	15365.9074288
16	84540000	84550000	16	84650000	84660000	255,255,0	702	182.594	151.84	232.145	147.134	8.73331908051e-160	2.83793665113e-211	7.3488227116e-113	6.14405642546e-211	6	84545000	84650000	15000.0
12	54090000	54100000	12	54140000	54150000	255,255,0	701	291.064	257.697	296.275	272.922	3.32141033878e-72	3.99999092627e-72	8.13414394097e-72	6.21352274261e-72	3	54088333	54141666	7453.559925
22	41800000	41810000	22	41920000	41930000	255,255,0	697	254.354	269.729	352.102	297.13	6.83632759017e-71	8.60483713644e-71	1.1286113053e-37	1.33358902744e-70	15	41799000	41916333	23333.3333333
16	57000000	57010000	16	57070000	57080000	255,255,0	694	339.126	339.542	398.836	383.075	2.98208839681e-37	7.12523580057e-37	2.00721815414e-13	1.65443435735e-13	6	57001666	57081666	14907.11985
17	26820000	26830000	17	26870000	26880000	255,255,0	691	346.955	334.816	369.729	337.467	1.40956978954e-36	3.28158986101e-36	2.74782443144e-36	3.43919623513e-36	3	26818333	26871666	7453.559925
17	43350000	43360000	17	43460000	43470000	255,255,0	688	207.732	201.952	213.381	283.37	4.27336096589e-107	5.23790179861e-107	8.06472031585e-107	1.27201802051e-67	10	43362000	43461000	36674.2416418
19	10380000	10390000	19	10490000	10500000	255,255,0	687	202.754	199.977	261.639	253.324	1.06734643615e-106	1.30825733241e-106	3.64487836289e-67	2.62912098248e-67	14	10380000	10500000	21213.2034356
22	24820000	24830000	22	24910000	24920000	255,255,0	682	304.488	319.635	381.92	352.776	1.46549632739e-34	3.50157524127e-34	2.95385470748e-34	3.78020756153e-34	14	24822142	24910000	28112.3837916
14	70080000	70090000	14	70130000	70140000	255,255,0	677	323.309	380.931	440.167	339.684	1.85506494917e-33	4.33389126376e-33	2.82759525756e-11	4.80407758011e-33	11	70073181	70171363	46399.2732915
1	24520000	24530000	1	24710000	24720000	255,255,0	677	149.56	142.046	157.157	193.607	1.72536856764e-195	1.15744178487e-195	5.15248667423e-146	6.22243394657e-102	10	24528000	24712000	24041.6305603
16	57330000	57340000	16	57450000	57460000	255,255,0	675	211.639	187.906	229.009	217.308	1.27515193057e-101	1.23636432837e-145	2.34951869106e-101	3.80891271542e-101	10	57341000	57452000	18027.7563773
15	44950000	44960000	15	45000000	45010000	255,255,0	672	331.809	315.065	324.026	300.003	2.26843249488e-32	5.19423007579e-32	4.85121488211e-32	1.76611939497e-62	5	44955000	45017000	12806.2484749
3	52320000	52330000	3	52370000	52380000	255,255,0	669	289.444	300.439	318.898	294.508	8.63659693073e-62	1.13466506967e-61	2.13209922083e-31	1.50797724187e-61	2	52320000	52375000	5000.0
22	50710000	50720000	22	50760000	50770000	255,255,0	668	218.675	265.764	279.309	257.428	9.18418042493e-99	2.28741285152e-61	4.29550256791e-61	3.04745577995e-61	10	50707000	50775000	18000.0
3	52030000	52040000	3	52170000	52180000	255,255,0	666	206.005	190.653	225.743	238.799	5.63002175842e-98	5.16318107799e-141	1.19872034041e-97	1.63074178537e-97	12	52040833	52170833	21245.91464
19	19470000	19480000	19	19600000	19610000	255,255,0	665	246.084	200.425	191.474	285.46	1.5416418798e-60	1.79695364104e-97	4.40619677887e-140	2.56752078638e-60	12	19485000	19600000	18027.7563773
19	12670000	12680000	19	12780000	12790000	255,255,0	664	180.811	152.485	213.103	172.888	5.82250846044e-140	7.82376432056e-188	7.60880074319e-97	1.45920967782e-139	9	12676111	12778333	16703.6626426
19	47110000	47120000	19	47160000	47170000	255,255,0	664	315.289	302.569	333.992	319.363	1.13977422076e-30	3.75255642982e-60	2.42235387668e-30	3.09617103896e-30	2	47115000	47170000	5000.0
10	105170000	105180000	10	105230000	105240000	255,255,0	664	250.248	276.7	303.561	351.408	2.99005494858e-60	3.75255642982e-60	7.08832867571e-60	3.09617103896e-30	7	105177857	105240714	17670.4526812
5	133370000	133380000	5	133470000	133480000	255,255,0	664	231.933	224.412	271.154	264.072	3.63034445841e-97	4.44974995561e-97	7.08832867571e-60	5.04246200387e-60	8	133372500	133481250	16441.1830475
21	45560000	45570000	21	45660000	45670000	255,255,0	660	329.09	294.954	424.922	268.529	7.81466298343e-30	6.54514602406e-59	2.44181567815e-09	8.81150961773e-59	3	45565000	45665000	10000.0
10	82200000	82210000	10	82260000	82270000	255,255,0	659	217.778	212.924	246.476	242.791	4.02610946537e-95	4.93484313129e-95	2.5162878196e-58	1.76366031619e-58	8	82205000	82270000	15000.0
6	159420000	159430000	6	159520000	159530000	255,255,0	655	230.564	253.067	330.379	320.963	1.68219167598e-93	2.27130570746e-57	1.89171798264e-28	2.39490222718e-28	12	159437500	159540833	40705.5824727
17	74450000	74460000	17	74500000	74510000	255,255,0	654	299.97	255.598	257.755	290.214	3.76040097475e-57	4.39927896623e-57	8.34970488857e-57	6.08826824483e-57	4	74445000	74510000	40311.2887415
7	105690000	105700000	7	105790000	105800000	255,255,0	654	172.171	147.239	186.582	182.995	6.76110309996e-135	8.56904610794e-182	1.50808188468e-134	1.5249922656e-134	8	105693750	105796250	14252.1928137
15	40340000	40350000	15	40390000	40400000	255,255,0	653	312.221	273.671	292.798	314.831	2.13085874936e-28	8.72563143046e-57	1.64566213409e-56	5.81238199655e-28	4	40340000	40400000	7071.06781187
1	181050000	181060000	1	181100000	181110000	255,255,0	652	303.611	316.118	307.166	330.925	1.50401582941e-56	9.00562688176e-28	7.72894953697e-28	9.05093821198e-28	5	181055000	181115000	10000.0
8	28220000	28230000	8	28270000	28280000	255,255,0	651	203.106	207.464	249.743	198.983	6.87247988534e-92	8.78991461341e-92	6.56197504738e-56	2.02124604223e-91	6	28216666	28276666	11785.1130198
19	45930000	45940000	19	45980000	45990000	255,255,0	650	207.342	205.517	217.583	218.912	1.61481233206e-91	2.14423280875e-91	3.94380604896e-91	4.77754938932e-91	4	45935000	45990000	11180.3398875
15	90700000	90710000	15	90760000	90770000	255,255,0	650	238.419	259.796	306.178	298.69	1.61481233206e-91	6.91802824049e-56	1.89410036532e-27	9.81189010471e-56	9	90700555	90766111	17916.1283296
17	40170000	40180000	17	40260000	40270000	255,255,0	643	231.215	246.353	283.061	322.953	1.03139344829e-88	8.2239917809e-54	1.6137020423e-53	5.44625107128e-26	7	40187857	40262142	27292.8188208
8	142090000	142100000	8	142180000	142190000	255,255,0	638	209.678	204.645	276.054	254.928	9.49977151233e-87	1.35070006953e-86	4.78973906353e-52	3.80134384797e-52	7	142096428	142180714	15779.0871674
1	23420000	23430000	1	23510000	23520000	255,255,0	635	207.395	192.826	216.191	214.405	1.41922899686e-85	2.00718848016e-85	3.77720268952e-85	4.52189305876e-85	13	23426538	23508846	23076.9230769
1	31270000	31280000	1	31380000	31390000	255,255,0	632	156.083	162.049	214.253	204.454	6.38205290259e-124	6.83902011641e-124	5.45278616642e-84	6.45982623872e-84	13	31271153	31388846	19581.4185559
6	30450000	30460000	6	30500000	30510000	255,255,0	630	253.584	234.38	261.646	249.784	4.48801396218e-50	1.7960768208e-83	1.0363093464e-49	8.29716866957e-50	5	30453000	30511000	12649.1106407
3	195800000	195810000	3	195910000	195920000	255,255,0	630	189.109	190.655	206.106	267.926	5.61267886946e-123	6.01455742863e-123	3.15892975219e-83	8.29716866957e-50	11	195804090	195921363	21856.0277821
17	47640000	47650000	17	47770000	47780000	255,255,0	629	179.359	143.128	173.909	174.497	1.59643820248e-122	7.42162645173e-167	3.9565528116e-122	4.00091831713e-122	12	47652500	47769166	18892.9734146
11	67030000	67040000	11	67080000	67090000	255,255,0	617	271.596	271.532	289.068	285.635	2.1957766039e-46	2.73557031996e-46	5.03422117517e-46	4.34025923502e-46	7	67023571	67086428	20454.0300904
12	52420000	52430000	12	52470000	52480000	255,255,0	615	307.467	314.551	363.171	302.643	4.50249286856e-21	1.12702914778e-20	8.84186263483e-21	1.56179915238e-45	3	52418333	52478333	7453.559925
10	112110000	112120000	10	112170000	112180000	255,255,0	614	298.646	309.259	362.404	330.062	1.47857653523e-45	1.56213247711e-20	1.26627826642e-20	1.44825489516e-20	3	112115000	112175000	10000.0
9	126890000	126900000	9	127050000	127060000	255,255,0	614	242.779	253.466	371.955	242.092	1.47857653523e-45	1.85188332857e-45	1.26627826642e-20	5.04347139305e-77	9	126890555	127047222	22662.3089493
12	57510000	57520000	12	57570000	57580000	255,255,0	613	287.63	269.057	299.464	286.942	2.66589573592e-45	3.41768379356e-45	6.44884237383e-45	5.48594190556e-45	5	57521000	57577000	16124.5154966
12	53600000	53610000	12	53680000	53690000	255,255,0	611	287.332	309.912	373.411	339.031	9.30968969291e-45	4.97949269941e-20	4.15237346059e-20	4.79975711387e-20	8	53606250	53681250	34141.2507094
16	56900000	56910000	16	56980000	56990000	255,255,0	609	291.108	271.822	337.043	281.659	3.28973704075e-44	4.17794734107e-44	8.95184782895e-20	6.55379307415e-44	6	56900000	56975000	11180.3398875
3	50600000	50610000	3	50650000	50660000	255,255,0	609	311.711	283.593	308.26	288.596	4.79751326579e-20	4.17794734107e-44	8.95184782895e-20	6.55379307415e-44	1	50605000	50655000	0
1	110030000	110040000	1	110080000	110090000	255,255,0	609	340.517	293.178	356.882	286.322	4.79751326579e-20	4.17794734107e-44	8.95184782895e-20	6.55379307415e-44	2	110030000	110080000	7071.06781187
9	129700000	129710000	9	129960000	129970000	255,255,0	606	231.886	177.105	202.315	232.431	1.81467205064e-74	1.92600109385e-111	4.61012370012e-74	4.81819880598e-74	13	129716538	129960384	22027.4170204
2	85640000	85650000	2	85780000	85790000	255,255,0	606	220.58	215.168	251.971	241.757	1.81467205064e-74	2.43278645736e-74	5.32610333656e-43	4.81819880598e-74	14	85648571	85775000	25882.3870457
20	43990000	44000000	20	44060000	44070000	255,255,0	605	208.813	220.538	261.955	264.077	4.18135063314e-74	5.59104414793e-74	9.83630313348e-43	8.04504752276e-43	9	43993888	44062777	40764.3029508
5	151040000	151050000	5	151120000	151130000	255,255,0	604	264.552	236.698	341.881	234.207	7.57645858461e-43	1.28400266039e-73	6.54337230332e-19	2.57912387839e-73	9	151043888	151111666	16703.6626426
19	49290000	49300000	19	49340000	49350000	255,255,0	603	218.453	223.224	242.41	226.851	2.27393076652e-73	2.94644738775e-73	3.34190620131e-42	5.82758935773e-73	5	49293000	49351000	12649.1106407
11	120100000	120110000	11	120170000	120180000	255,255,0	602	196.646	193.511	202.1	233.42	5.08767065789e-73	6.57309102294e-73	1.37760536679e-72	1.26439102453e-72	9	120109444	120172777	18324.9138916
1	206900000	206910000	1	206980000	206990000	255,255,0	602	211.864	204.881	263.439	218.547	5.08767065789e-73	6.57309102294e-73	6.14781709232e-42	1.26439102453e-72	8	206906250	206976250	14252.1928137
19	42950000	42960000	19	43030000	43040000	255,255,0	601	196.122	189.738	234.236	219.137	1.16791114903e-72	4.18988033163e-109	3.10833356913e-72	2.86242596927e-72	12	42958333	43030000	20069.324298
5	131750000	131760000	5	131820000	131830000	255,255,0	598	249.799	284.237	351.817	323.084	3.11943394297e-41	4.05075625448e-41	6.79856364479e-18	8.2995452287e-18	14	131745714	131826428	27820.4887059
11	72290000	72300000	11	72350000	72360000	255,255,0	596	266.767	302.517	353.367	338.131	1.00952220115e-40	1.33734984716e-40	1.4344066672e-17	1.73583377631e-17	7	72297857	72366428	28713.9303461
3	53160000	53170000	3	53230000	53240000	255,255,0	595	219.252	241.263	297.582	290.866	1.74654862198e-70	2.29740347363e-70	4.43089910214e-40	3.69238059954e-40	10	53158000	53228000	17262.6765016
12	49680000	49690000	12	49730000	49740000	255,255,0	592	243.622	230.198	246.106	243.955	1.07651202696e-39	2.68444639978e-69	2.69421149939e-39	2.1653270485e-39	5	49683000	49741000	12649.1106407
4	6250000	6260000	4	6320000	6330000	255,255,0	592	174.254	192.712	223.148	251.586	6.02784017591e-105	2.68444639978e-69	5.4957968852e-69	2.1653270485e-39	9	6258333	6326111	16703.6626426
19	13990000	14000000	19	14180000	14190000	255,255,0	591	224.193	186.172	263.877	202.537	4.85062831353e-69	1.67436049027e-104	4.8000779447e-39	1.26950850137e-68	12	13999166	14176666	26835.4036468
1	9170000	9180000	1	9250000	9260000	255,255,0	591	258.47	257.03	264.879	299.762	1.95269048987e-39	2.71056856857e-39	4.8000779447e-39	3.92985078538e-39	8	9181250	9255000	25769.4101601
9	130720000	130730000	9	130790000	130800000	255,255,0	590	258.067	279.246	303.117	336.322	3.48955701286e-39	4.91200223249e-39	8.67741158625e-39	1.59563180457e-16	12	130718333	130800833	27600.8252695
22	38020000	38030000	22	38070000	38080000	255,255,0	589	293.325	301.548	303.721	343.673	6.31193411282e-39	8.88790011958e-39	1.56640516291e-38	2.28356673299e-16	5	38023000	38081000	12649.1106407
5	126010000	126020000	5	126110000	126120000	255,255,0	588	162.153	166.792	224.956	177.177	4.06122775627e-103	3.89391213379e-103	1.50987381203e-67	9.61261027525e-103	15	126009000	126129000	21260.2916255
1	200940000	200950000	1	201010000	201020000	255,255,0	588	216.865	227.288	276.622	245.813	5.83407123644e-68	7.46869707435e-68	2.82348649425e-38	2.38853264672e-38	6	200946666	201008333	13437.0962472
19	14680000	14690000	19	14790000	14800000	255,255,0	587	148.231	133.491	146.039	175.99	2.91498127116e-142	1.09995665193e-142	9.48807337185e-142	2.50583396643e-102	9	14685000	14795000	20000.0
17	48270000	48280000	17	48360000	48370000	255,255,0	585	241.448	259.706	284.576	317.999	6.77281469428e-67	9.4984872005e-38	1.66281771741e-37	9.77529379271e-16	14	48275714	48362142	33296.7486309
2	113380000	113390000	2	113480000	113490000	255,255,0	585	220.723	227.151	248.002	298.827	6.77281469428e-67	8.65476317741e-67	1.66281771741e-37	1.39432860288e-37	15	113373000	113482333	42084.5709389
16	85850000	85860000	16	86020000	86030000	255,255,0	584	190.563	198.001	288.948	216.672	2.53160582573e-101	1.93910163835e-66	2.97898257354e-37	4.1715154393e-66	10	85856000	86040000	25019.9920064
5	140850000	140860000	5	140900000	140910000	255,255,0	582	268.724	317.433	321.98	304.434	4.07688423624e-37	2.99887448305e-15	2.48963164631e-15	8.12535812936e-37	4	140855000	140912500	12500.0
15	42280000	42290000	15	42340000	42350000	255,255,0	581	220.142	234.065	304.017	250.769	1.76564449309e-65	2.20745169684e-65	1.69756476068e-36	1.41739754129e-36	9	42281666	42350555	17249.0829958
19	660000	670000	19	730000	740000	255,255,0	579	211.298	215.594	212.45	240.765	8.75975935115e-65	1.09434050597e-64	2.31679246177e-64	2.38585566413e-64	6	671666	733333	13437.0962472
13	100030000	100040000	13	100080000	100090000	255,255,0	579	218.503	204.98	219.75	238.391	8.75975935115e-65	1.09434050597e-64	2.31679246177e-64	2.38585566413e-64	6	100030000	100086666	17159.3835683
12	113480000	113490000	12	113530000	113540000	255,255,0	578	226.166	223.572	229.82	242.552	1.9471629141e-64	2.43168856627e-64	5.08804769945e-64	8.19820886552e-36	3	113481666	113538333	7453.559925
19	35840000	35850000	19	35950000	35960000	255,255,0	576	151.266	175.8	228.382	224.12	2.97732062115e-136	1.15232528148e-97	2.44798136679e-63	2.59018606856e-63	13	35848076	35966538	25044.3393786
17	42850000	42860000	17	42940000	42950000	255,255,0	576	195.598	201.251	247.481	233.727	9.58118134723e-64	1.19572737204e-63	3.03233715099e-35	2.59018606856e-63	8	42855000	42942500	17500.0
6	35310000	35320000	6	35410000	35420000	255,255,0	576	172.935	197.821	217.136	242.852	1.07532962065e-97	1.19572737204e-63	2.44798136679e-63	2.57956769356e-35	8	35311250	35420000	17001.8381359
22	23520000	23530000	22	23610000	23620000	255,255,0	573	242.866	260.399	319.916	317.339	7.53506344285e-35	1.00329460758e-34	5.82255409619e-14	6.66928434554e-14	12	23516666	23624166	21682.6863854
14	22860000	22870000	14	22930000	22940000	255,255,0	573	220.197	205.054	247.473	223.227	1.07106816853e-62	1.33626229563e-62	1.68556562854e-34	2.86055871827e-62	12	22864166	22937500	22515.4268102
6	52150000	52160000	6	52260000	52270000	255,255,0	573	176.266	143.665	190.082	162.381	2.32753070726e-96	5.44271529644e-135	8.652697752e-96	5.10400446296e-96	11	52157727	52261363	18652.9859352
15	40630000	40640000	15	40710000	40720000	255,255,0	572	238.772	237.75	226.784	336.573	2.28066799067e-62	2.84281814769e-62	5.75040967097e-62	9.29505949853e-14	9	40650555	40718333	16923.9402352
5	177500000	177510000	5	177570000	177580000	255,255,0	572	162.423	177.645	234.01	228.412	6.27139158207e-96	7.04045595875e-96	5.75040967097e-62	6.22849455332e-62	8	177501250	177578750	24044.2300771
1	167570000	167580000	1	167650000	167660000	255,255,0	572	214.481	220.606	222.517	269.61	2.28066799067e-62	2.84281814769e-62	5.75040967097e-62	2.56108759939e-34	10	167574000	167660000	31400.6369362
17	72370000	72380000	17	72450000	72460000	255,255,0	568	188.639	210.824	287.677	200.596	3.74253245032e-94	6.82004460652e-61	2.92686340544e-33	1.38644448859e-60	12	72375000	72457500	37500.0
